dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,0,baseline,baseline,4800,1.553743564765986e-05,3.736218999954872,1838.2386447641302,0.38296638432586044,13295.34375,13328.0,14.277625360594808,0.47650460363799685,0.2320532974025002,0.34459375,0.369,0.0285,0.5,32,20,0.01,0.8326596529777842,14,0.3064945054945055,14
G55,0,baseline,baseline,9600,2.520304854118271e-05,11.205589800025336,3535.4712588045695,0.368278256125476,10178.34375,10205.0,15.51331962983745,1.171533644043111,0.9127099718419265,0.38126330645161294,0.3931,0.1166,0.4998,32,26,0.0008,0.9128613045796025,0,nan,0
G70,0,baseline,baseline,4800,8.842480587996874e-06,9.720045699970797,4403.557761416315,0.9174078669617323,9476.90625,9507.0,11.530826550490646,1.1895918048170162,0.8758210822646231,0.3743461693548387,0.3829,0.1164,0.4983,32,25,0.0717,0.7952251681901747,0,nan,0
