run,dataset,config,label,exp,lambda_max,spectral_cut,spectral_gap_pct,align_mean,align_std,align_max,gap_pct_mean,mean_pairwise
v3_G22_G55_G70_nt32_ex1234_main,G22,baseline,baseline,0,0.45054748706306236,12704.0,4.9030616064076655,0.37846875,0.11417119393015691,0.544,0.40188262594505575,0.3269264112903226
v3_G22_G55_G70_nt32_ex1234_main,G22,init1e-05,初期振幅 1e-05,1,0.45054748706306236,12704.0,4.9030616064076655,0.3661875,0.12753809173635147,0.5329999999999999,0.4313571375102927,0.33626209677419355
v3_G22_G55_G70_nt32_ex1234_main,G22,init0.001,初期振幅 0.001,1,0.45054748706306236,12704.0,4.9030616064076655,0.3668125,0.12830272734338113,0.5529999999999999,0.42901789056067074,0.3360504032258065
v3_G22_G55_G70_nt32_ex1234_main,G22,init0.1,初期振幅 0.1,1,0.45054748706306236,12704.0,4.9030616064076655,0.36059375000000005,0.13696369486450596,0.542,0.42948573995059514,0.33861995967741937
v3_G22_G55_G70_nt32_ex1234_main,G22,dp0.25x,ramp 0.25x,2,0.45054748706306236,12704.0,4.9030616064076655,0.40075,0.08530826454687727,0.508,0.4566210045662101,0.29716733870967743
v3_G22_G55_G70_nt32_ex1234_main,G22,dp4x,ramp 4x,2,0.45054748706306236,12704.0,4.9030616064076655,0.28612499999999996,0.17030721322069717,0.579,0.9137098585223445,0.40273185483870966
v3_G22_G55_G70_nt32_ex1234_main,G22,dp16x,ramp 16x,2,0.45054748706306236,12704.0,4.9030616064076655,0.2286875,0.13877329477875058,0.554,1.1488041769593533,0.4289939516129032
v3_G22_G55_G70_nt32_ex1234_main,G22,dp64x,ramp 64x,2,0.45054748706306236,12704.0,4.9030616064076655,0.1583125,0.110232265438709,0.46599999999999997,2.0407590388502137,0.4537338709677419
v3_G22_G55_G70_nt32_ex1234_main,G22,noise10x,ノイズ 10x,3,0.45054748706306236,12704.0,4.9030616064076655,0.37496874999999996,0.11249346769229536,0.544,0.3885489183322105,0.3274848790322581
v3_G22_G55_G70_nt32_ex1234_main,G22,noise100x,ノイズ 100x,3,0.45054748706306236,12704.0,4.9030616064076655,0.3651249999999999,0.1082646497015531,0.544,0.40515757167452654,0.33007459677419354
v3_G22_G55_G70_nt32_ex1234_main,G22,noise1000x,ノイズ 1000x,3,0.45054748706306236,12704.0,4.9030616064076655,0.33696875000000004,0.13026930863959285,0.548,0.40164870125009355,0.33774495967741935
v3_G22_G55_G70_nt32_ex1234_main,G22,async0.5par,部分更新 f=0.5,4,0.45054748706306236,12704.0,4.9030616064076655,0.35884375,0.16435139742617796,0.544,0.44936933902238196,0.3403719758064516
v3_G22_G55_G70_nt32_ex1234_main,G22,async0.25par,部分更新 f=0.25,4,0.45054748706306236,12704.0,4.9030616064076655,0.36140625000000004,0.15023915505266097,0.558,0.46574406766973575,0.3498860887096774
v3_G22_G55_G70_nt32_ex1234_main,G22,async0.5seq,逐次更新 f=0.5,4,0.45054748706306236,12704.0,4.9030616064076655,0.36521875000000004,0.15516961171066163,0.5529999999999999,0.4781420765027322,0.33423891129032257
v3_G22_G55_G70_nt32_ex1234_main,G22,async0.25seq,逐次更新 f=0.25,4,0.45054748706306236,12704.0,4.9030616064076655,0.34840625000000003,0.1356251404089135,0.5529999999999999,0.4711243356538663,0.35895262096774194
v3_G22_G55_G70_nt32_ex1234_main,G55,baseline,baseline,0,0.6557314551306842,9403.0,8.699873774152831,0.2602875,0.12696791856114678,0.43879999999999997,1.1557554131469074,0.3867278225806452
v3_G22_G55_G70_nt32_ex1234_main,G55,init1e-05,初期振幅 1e-05,1,0.6557314551306842,9403.0,8.699873774152831,0.31577500000000003,0.12235476850127257,0.4556,1.1336052043887757,0.35581209677419356
v3_G22_G55_G70_nt32_ex1234_main,G55,init0.001,初期振幅 0.001,1,0.6557314551306842,9403.0,8.699873774152831,0.30448749999999997,0.08740902323988067,0.44799999999999995,1.1141858432857559,0.36750201612903227
v3_G22_G55_G70_nt32_ex1234_main,G55,init0.1,初期振幅 0.1,1,0.6557314551306842,9403.0,8.699873774152831,0.22538750000000002,0.0933745674354104,0.41359999999999997,1.1703199339741723,0.4124899193548387
v3_G22_G55_G70_nt32_ex1234_main,G55,dp0.25x,ramp 0.25x,2,0.6557314551306842,9403.0,8.699873774152831,0.3359125,0.060025389159504824,0.40759999999999996,1.1138824157685212,0.27191250000000006
v3_G22_G55_G70_nt32_ex1234_main,G55,dp4x,ramp 4x,2,0.6557314551306842,9403.0,8.699873774152831,0.215825,0.1197767480565406,0.4568,1.410027672589572,0.4231266129032258
v3_G22_G55_G70_nt32_ex1234_main,G55,dp16x,ramp 16x,2,0.6557314551306842,9403.0,8.699873774152831,0.149725,0.11523963890519615,0.47919999999999996,1.9197859015438392,0.45131935483870966
v3_G22_G55_G70_nt32_ex1234_main,G55,dp64x,ramp 64x,2,0.6557314551306842,9403.0,8.699873774152831,0.114975,0.09538626407926877,0.4104,2.759369841732207,0.46619032258064513
v3_G22_G55_G70_nt32_ex1234_main,G55,noise10x,ノイズ 10x,3,0.6557314551306842,9403.0,8.699873774152831,0.2292625,0.1273109229161033,0.4224,1.1572725507330808,0.4017471774193548
v3_G22_G55_G70_nt32_ex1234_main,G55,noise100x,ノイズ 100x,3,0.6557314551306842,9403.0,8.699873774152831,0.2030125,0.11990062486805479,0.40280000000000005,1.2170477716283135,0.4120270161290322
v3_G22_G55_G70_nt32_ex1234_main,G55,noise1000x,ノイズ 1000x,3,0.6557314551306842,9403.0,8.699873774152831,0.15765,0.10363936269584062,0.3308,1.1533279930090299,0.4210645161290323
v3_G22_G55_G70_nt32_ex1234_main,G55,async0.5par,部分更新 f=0.5,4,0.6557314551306842,9403.0,8.699873774152831,0.28865,0.1277287262130176,0.46599999999999997,1.1885255850082532,0.371591129032258
v3_G22_G55_G70_nt32_ex1234_main,G55,async0.25par,部分更新 f=0.25,4,0.6557314551306842,9403.0,8.699873774152831,0.265425,0.12665065880207652,0.484,1.185794737353141,0.3908346774193548
v3_G22_G55_G70_nt32_ex1234_main,G55,async0.5seq,逐次更新 f=0.5,4,0.6557314551306842,9403.0,8.699873774152831,0.30765,0.10785850685041028,0.43879999999999997,1.1481697252160403,0.3641556451612903
v3_G22_G55_G70_nt32_ex1234_main,G55,async0.25seq,逐次更新 f=0.25,4,0.6557314551306842,9403.0,8.699873774152831,0.287375,0.11101459082030614,0.4396,1.170623361491407,0.381158064516129
v3_G22_G55_G70_nt32_ex1234_main,G70,baseline,baseline,0,0.5438142697570933,9139.0,4.712751537900115,0.24750625,0.07435850631190423,0.3808,1.1612449171097905,0.3810163306451613
v3_G22_G55_G70_nt32_ex1234_main,G70,init1e-05,初期振幅 1e-05,1,0.5438142697570933,9139.0,4.712751537900115,0.28779375000000007,0.06853605774289546,0.4234,1.15147012824523,0.37613084677419356
v3_G22_G55_G70_nt32_ex1234_main,G70,init0.001,初期振幅 0.001,1,0.5438142697570933,9139.0,4.712751537900115,0.28779375000000007,0.06853605774289546,0.4234,1.15147012824523,0.37613084677419356
v3_G22_G55_G70_nt32_ex1234_main,G70,init0.1,初期振幅 0.1,1,0.5438142697570933,9139.0,4.712751537900115,0.28779375000000007,0.06853605774289546,0.4234,1.15147012824523,0.37613084677419356
v3_G22_G55_G70_nt32_ex1234_main,G70,dp0.25x,ramp 0.25x,2,0.5438142697570933,9139.0,4.712751537900115,0.28280000000000005,0.03911911297562869,0.3446,1.4378714419768532,0.3332040322580645
v3_G22_G55_G70_nt32_ex1234_main,G70,dp4x,ramp 4x,2,0.5438142697570933,9139.0,4.712751537900115,0.25855625,0.10324244202815767,0.4341999999999999,1.4176702116567617,0.4009485887096774
v3_G22_G55_G70_nt32_ex1234_main,G70,dp16x,ramp 16x,2,0.5438142697570933,9139.0,4.712751537900115,0.14713125,0.08045981309596424,0.372,1.87122041497237,0.4477502016129033
v3_G22_G55_G70_nt32_ex1234_main,G70,dp64x,ramp 64x,2,0.5438142697570933,9139.0,4.712751537900115,0.059568750000000004,0.046118356144137444,0.1916,2.5033234282139505,0.47373608870967737
v3_G22_G55_G70_nt32_ex1234_main,G70,noise10x,ノイズ 10x,3,0.5438142697570933,9139.0,4.712751537900115,0.22977499999999998,0.08357247977055607,0.37760000000000005,1.1768845792930873,0.3890540322580645
v3_G22_G55_G70_nt32_ex1234_main,G70,noise100x,ノイズ 100x,3,0.5438142697570933,9139.0,4.712751537900115,0.21616875000000002,0.08392815542735046,0.35719999999999996,1.196108330726723,0.4003502016129032
v3_G22_G55_G70_nt32_ex1234_main,G70,noise1000x,ノイズ 1000x,3,0.5438142697570933,9139.0,4.712751537900115,0.1893375,0.08856990794705613,0.3436,1.2045798144093423,0.41389717741935483
v3_G22_G55_G70_nt32_ex1234_main,G70,async0.5par,部分更新 f=0.5,4,0.5438142697570933,9139.0,4.712751537900115,0.26930624999999997,0.08482004457047579,0.39680000000000004,1.1250781983109164,0.37047116935483865
v3_G22_G55_G70_nt32_ex1234_main,G70,async0.25par,部分更新 f=0.25,4,0.5438142697570933,9139.0,4.712751537900115,0.282775,0.06745264542625441,0.40159999999999996,1.1648290063601292,0.37177419354838703
v3_G22_G55_G70_nt32_ex1234_main,G70,async0.5seq,逐次更新 f=0.5,4,0.5438142697570933,9139.0,4.712751537900115,0.2950875,0.07200104057407782,0.3832,1.0872823480346159,0.35626008064516124
v3_G22_G55_G70_nt32_ex1234_main,G70,async0.25seq,逐次更新 f=0.25,4,0.5438142697570933,9139.0,4.712751537900115,0.27109375,0.07251229179206448,0.4164,1.1970858096131791,0.3707256048387097
v2_G22_K2000_G55_G70_nt32_main,G22,CIM,CIM,,0.4505474870630621,12704.0,4.9030616064076655,0.37846875,0.11417119393015691,0.544,0.40188262594505575,0.3269264112903226
v2_G22_K2000_G55_G70_nt32_main,G22,CAC,CAC,,0.4505474870630621,12704.0,4.9030616064076655,0.37578125,0.06976645611207079,0.43799999999999994,0.17520959652668613,0.21366431451612902
