dataset,algo,budget,time,num_trials,n,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,CIM,2400.0,0.2720401999540627,4,2000,13317.0,13331.0,10.977249200050075,0.3143947900291938,0.20959652668612921,0.24291666666666667,0.2305,0.1725,0.335,4,4,0.554,0.3843823076338208,4,0.24291666666666667,4
G22,SA,3000000.0,0.20178409991785884,4,2000,13338.75,13354.0,17.99131735032207,0.15158320233550415,0.03742795119395164,0.29724999999999996,0.31124999999999997,0.088,0.4925,4,4,0.4125,0.4917236481607197,4,0.29724999999999996,4
G22,SB,6000.0,0.38966709980741143,4,2000,13353.0,13356.0,2.23606797749979,0.04491354143274197,0.022456770716370988,0.09499999999999999,0.09475,0.067,0.1145,4,4,0.826,0.1502210436801569,4,0.09499999999999999,4
G22,GA,3.0,0.7727982001379132,4,2000,13336.25,13357.0,20.873128658636684,0.17029717793247998,0.014971180477580656,0.32375,0.35025,0.065,0.4815,4,4,0.395,0.5148853044269205,4,0.32375,4
