dataset,config,pump_offset,offset_frac,rounds,time,gap_pct_mean,gap_pct_best,cut_mean,cut_max,mean_pairwise,n_distinct,frozen_frac,entropy_bits
G22,off0,0,0.0,4800,3.721846800064668,0.40188262594505575,0.12725503405943558,13305.3125,13342.0,0.3269264112903226,30,0.008,0.7511453958336317
G22,off48,48,0.01,4752,3.7435419999528676,0.4596620256007186,0.20211093644733885,13297.59375,13332.0,0.32958266129032254,28,0.0165,0.7599216855145408
G22,off96,96,0.02,4704,3.749372799997218,0.4678493899243955,0.19462534620854854,13296.5,13333.0,0.3477096774193548,31,0.0135,0.7897097938630888
G22,off240,240,0.05,4560,3.6572938000317663,0.5457463133468075,0.2395388876412905,13286.09375,13327.0,0.3887963709677419,32,0.001,0.888140031478964
G22,off480,480,0.1,4320,3.4891249000793323,1.0624859645183022,0.3218803802679841,13217.0625,13316.0,0.4186300403225806,32,0.0,0.9265856921091542
G22,off1200,1200,0.25,3600,2.8521077999612316,1.3766468298525338,1.0779249943858074,13175.09375,13215.0,0.4561260080645161,32,0.0,0.946358999013594
G22,off2400,2400,0.5,2400,1.8574949000030756,2.4552735983232283,2.021109364473389,13031.0,13089.0,0.46737399193548385,32,0.0,0.9669773039607087
G55,off0,0,0.0,9600,11.163078800076619,1.1557554131469074,0.7185163608117293,10179.96875,10225.0,0.3867278225806452,32,0.0012,0.8667858318886027
G55,off96,96,0.01,9504,10.954594800015911,1.228881444800466,0.9030002912904166,10172.4375,10206.0,0.4201774193548387,32,0.0,0.9276387791116387
G55,off192,192,0.02,9408,10.834249899955466,1.2446596756966695,0.9030002912904166,10170.8125,10206.0,0.43397459677419353,32,0.0,0.9413984932661071
G55,off480,480,0.05,9120,10.443186799995601,1.4813331391397222,1.0777745412175939,10146.4375,10188.0,0.45209516129032257,32,0.0,0.9459103736180947
G55,off960,960,0.1,8640,10.96989870001562,1.877912904165453,1.4564520827264784,10105.59375,10149.0,0.46333467741935486,32,0.0,0.9629896274258933
G55,off2400,2400,0.25,7200,16.62262949999422,2.8950019419361106,2.427420137877464,10000.84375,10049.0,0.4739,32,0.0,0.9692537427987212
G55,off4800,4800,0.5,4800,10.908356199972332,4.3065467521118554,3.942130303913001,9855.46875,9893.0,0.47974677419354844,32,0.0,0.9691854348546914
G70,off0,0,0.0,4800,17.9335366000887,1.1612449171097905,0.9383797309978105,9479.625,9501.0,0.3810163306451613,32,0.0133,0.8247869322661642
G70,off48,48,0.01,4752,17.625699599971995,1.1853560629757063,0.9696590553644042,9477.3125,9498.0,0.3879326612903226,32,0.0421,0.8406043785835922
G70,off96,96,0.02,4704,17.561291499994695,1.1338755082890208,0.8549681993535606,9482.25,9509.0,0.3765550403225807,32,0.0934,0.7837070790701721
G70,off240,240,0.05,4560,17.132817899924703,1.2541054113231156,1.0426441455531228,9470.71875,9491.0,0.40768588709677417,32,0.0049,0.8802645588569572
G70,off480,480,0.1,4320,9.722422900027595,1.4381972682723387,1.146908560108435,9453.0625,9481.0,0.45216733870967746,32,0.0,0.9515830434822323
G70,off1200,1200,0.25,3600,7.725320299970917,2.190530184548014,1.78292148889584,9380.90625,9420.0,0.47754657258064515,32,0.0,0.9707951214233899
G70,off2400,2400,0.5,2400,5.21738740010187,3.294103847356897,2.9506829319153374,9275.0625,9308.0,0.48446048387096774,32,0.0,0.9747315542273871
