dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,0,baseline,baseline,4800,1.553743564765986e-05,3.7469905000180006,1838.2386447641302,0.38296638432586044,13298.625,13340.0,16.65035660278782,0.4519425106669661,0.14222621453701623,0.33677721774193553,0.3585,0.02,0.4995,32,28,0.007,0.8011410416894263,17,0.2639779411764706,17
G55,0,baseline,baseline,9600,2.520304854118271e-05,10.966267799958587,3535.4712588045695,0.368278256125476,10177.59375,10215.0,17.726850000423088,1.1788159044567434,0.8156131663268279,0.3760762096774194,0.382,0.1572,0.4998,32,22,0.0094,0.8496754007268009,0,nan,0
G70,0,baseline,baseline,4800,8.842480587996874e-06,9.976472400012426,4403.557761416315,0.9174078669617323,9481.1875,9498.0,9.593088332231702,1.144953602335523,0.9696590553644042,0.3792532258064516,0.3936,0.1321,0.4978,32,20,0.0038,0.8659137643129958,0,nan,0
