dataset,exp,config,label,rounds,dP_per_round,time,threshold_round,threshold_frac,cut_mean,cut_max,cut_std,gap_pct_mean,gap_pct_best,mean_pairwise,median_pairwise,min_pairwise,max_pairwise,n_distinct,n_distinct_cuts,frozen_frac,entropy_bits,n_near,near_mean_pairwise,near_n_distinct
G22,0,baseline,baseline,4800,1.553743564765986e-05,3.7793730999110267,1838.2386447641302,0.38296638432586044,13298.625,13340.0,16.65035660278782,0.4519425106669661,0.14222621453701623,0.33677721774193553,0.3585,0.02,0.4995,32,28,0.007,0.8011410416894263,17,0.2639779411764706,17
G22,1,init1e-05,初期振幅 1e-05,4800,1.553743564765986e-05,3.781044900068082,1838.2386447641302,0.38296638432586044,13297.03125,13333.0,17.97825835384229,0.4638726701100382,0.19462534620854854,0.36496774193548387,0.39,0.056,0.499,32,26,0.0025,0.8357846649458852,20,0.32735526315789476,20
G22,1,init0.001,初期振幅 0.001,4800,1.553743564765986e-05,3.7115444999653846,1838.2386447641302,0.38296638432586044,13297.03125,13333.0,17.901613710431246,0.46387267011003813,0.19462534620854854,0.3648004032258065,0.391,0.0535,0.499,32,25,0.0025,0.8353557905846355,20,0.32715,20
G22,1,init0.1,初期振幅 0.1,4800,1.553743564765986e-05,3.7574870999669656,1838.2386447641302,0.38296638432586044,13294.34375,13336.0,20.994953820799417,0.48399019387678716,0.17216857549217757,0.3655131048387097,0.3985,0.0,0.499,31,26,0.007,0.8284006355181689,15,0.27454285714285714,15
G55,0,baseline,baseline,9600,2.520304854118271e-05,11.363515100092627,3535.4712588045695,0.368278256125476,10177.59375,10215.0,17.726850000423088,1.1788159044567434,0.8156131663268279,0.3760762096774194,0.382,0.1572,0.4998,32,22,0.0094,0.8496754007268009,0,nan,0
G55,1,init1e-05,初期振幅 1e-05,9600,2.520304854118271e-05,11.135174700058997,3535.4712588045695,0.368278256125476,10183.125,10214.0,15.265872886933128,1.1251092339062045,0.8253228468783377,0.38739233870967743,0.3967,0.1154,0.4996,32,26,0.0016,0.8624206477787891,0,nan,0
G55,1,init0.001,初期振幅 0.001,9600,2.520304854118271e-05,10.978721000021324,3535.4712588045695,0.368278256125476,10179.90625,10213.0,13.629837157409476,1.1563622681813768,0.8350325274298475,0.37546532258064513,0.3935,0.121,0.5,32,26,0.0072,0.8155008558821962,0,nan,0
G55,1,init0.1,初期振幅 0.1,9600,2.520304854118271e-05,10.996079600066878,3535.4712588045695,0.368278256125476,10176.21875,10221.0,14.212086350620728,1.1921667152150692,0.7573550830177687,0.4216528225806451,0.43179999999999996,0.2336,0.4998,32,24,0.0,0.9165911519525923,0,nan,0
G70,0,baseline,baseline,4800,8.842480587996874e-06,9.698344600037672,4403.557761416315,0.9174078669617323,9481.1875,9498.0,9.593088332231702,1.144953602335523,0.9696590553644042,0.3792532258064516,0.3936,0.1321,0.4978,32,20,0.0038,0.8659137643129958,0,nan,0
G70,1,init1e-05,初期振幅 1e-05,4800,8.842480587996874e-06,9.66228669998236,4403.557761416315,0.9174078669617323,9479.125,9504.0,13.336392878136127,1.166458137837556,0.9071004066312168,0.3870483870967742,0.40249999999999997,0.1337,0.4996,32,24,0.039,0.8214926815363255,0,nan,0
G70,1,init0.001,初期振幅 0.001,4800,8.842480587996874e-06,9.70808760006912,4403.557761416315,0.9174078669617323,9479.125,9504.0,13.336392878136127,1.166458137837556,0.9071004066312168,0.3870483870967742,0.40249999999999997,0.1337,0.4996,32,24,0.039,0.8214926815363255,0,nan,0
G70,1,init0.1,初期振幅 0.1,4800,8.842480587996874e-06,9.876571399974637,4403.557761416315,0.9174078669617323,9479.125,9504.0,13.336392878136127,1.166458137837556,0.9071004066312168,0.3870483870967742,0.40249999999999997,0.1337,0.4996,32,24,0.039,0.8214926815363255,0,nan,0
